pwm,rpm,current,voltage,power,force,efficiency
1688,1716,2.9,12,34.8,11.3796,33.4
1692,1741,3,12,36,11.772,33.3
1696,1769,3.2,12,38.4,12.0663,32.1
1700,1796,3.3,12,39.6,12.5568,32.3
1704,1824,3.5,12,42,12.8511,31.2
1708,1854,3.67,12,44,13.2435,30.7
1712,1880,3.8,12,45.6,13.734,30.7
1716,1911,4,12,48,14.0283,29.9
1720,1931,4.2,12,50.4,14.5188,29.4
1724,1964,4.4,12,52.8,15.0093,29
1728,1996,4.6,12,55.2,15.3036,28.3
1732,2017,4.8,12,57.6,15.9903,28.3
1736,2046,5,12,60,16.3827,27.9
1740,2070,5.2,12,62.4,16.7751,27.4
1744,2083,5.4,12,64.8,17.3637,27.3
1748,2118,5.69,12,68.3,17.8542,26.6
1752,2143,5.8,12,69.6,18.1485,26.5
1756,2169,6,12,72,18.7371,26.5
1760,2190,6.3,12,75.6,18.8352,25.4
1764,2229,6.5,12,78,19.2276,25.2
1768,2244,6.7,12,80.4,19.9143,25.3
1772,2269,7,12,84,20.5029,24.8
1776,2304,7.2,12,86.4,20.8953,24.7
1780,2330,7.5,12,90,21.3858,24.2
1784,2345,7.8,12,93.6,21.9744,23.9
1788,2391,8,12,96,22.2687,23.7
1792,2411,8.32,12,99.8,22.8573,23.4
1796,2432,8.64,12,103.7,23.544,23.1
1800,2456,8.9,12,106.8,24.1326,23.1
1804,2482,9.24,12,110.9,24.6231,22.6
1808,2508,9.5,12,114,25.1136,22.5
1812,2535,9.82,12,117.8,25.7022,22.2
1816,2562,10.14,12,121.7,25.9965,21.8
1820,2585,10.45,12,125.4,26.5851,21.6
1824,2613,10.72,12,128.6,27.2718,21.6
1828,2620,11.1,12,133.2,27.8604,21.4
1832,2661,11.32,12,135.8,28.1547,21.1
1836,2681,11.62,12,139.4,28.7433,21
1840,2698,12.01,12,144.1,29.5281,20.9
1844,2721,12.37,12,148.4,29.8224,20.5
1848,2751,12.61,12,151.3,30.2148,20.4
1852,2773,13.04,12,156.5,30.9996,20.2
1856,2782,13.44,12,161.3,31.6863,20
1860,2808,13.7,12,164.4,31.9806,19.8
1864,2835,14.11,12,169.3,32.5692,19.6
1868,2859,14.4,12,172.8,33.1578,19.6
1872,2879,14.76,12,177.1,33.354,19.2
1876,2904,15.13,12,181.6,33.8445,19
1880,2923,15.52,12,186.2,34.335,18.8
1884,2937,15.87,12,190.4,35.0217,18.7
1888,2962,16.3,12,195.6,35.7084,18.6
1892,2976,16.74,12,200.9,36.3951,18.4
1896,2994,16.86,12,202.3,36.1989,18.2
1900,2995,16.91,12,202.9,36.3951,18.3
